TF,target,target_symbol,target_gene_id,signed_association,absolute_association,p_value,positive_sign_frequency,bootstrap_sign_consistency,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,fdr_global,stable_edge
NFE2,NUTM2A-AS1,NUTM2A-AS1,ENSG00000223482,0.16134413026164957,0.16134413026164957,4.9792972406008235e-09,1.0,1.0,0.51,1.0,1.0,1.2887246230998818e-06,True
BCL11A,ANAPC16,ANAPC16,ENSG00000166295,0.1611202133767399,0.1611202133767399,5.2314054290437324e-09,1.0,1.0,0.25,0.8,0.95,1.3460098439198402e-06,True
BCL11A,TRIM10,TRIM10,ENSG00000204613,0.1610340539126697,0.1610340539126697,5.331681021105102e-09,1.0,1.0,0.13,0.87,0.98,1.363787882240568e-06,True
BCL11A,METAP2,METAP2,ENSG00000111142,0.1609395750491596,0.1609395750491596,5.443786214585464e-09,1.0,1.0,0.21,0.79,0.97,1.3843674943370245e-06,True
BCL11A,SUCO,SUCO,ENSG00000094975,0.16085689809106823,0.16085689809106823,5.543764293072567e-09,1.0,1.0,0.18,0.79,0.95,1.4016430646184628e-06,True
BCL11A,CNNM2,CNNM2,ENSG00000148842,0.16078476542587022,0.16078476542587022,5.632447161021668e-09,1.0,1.0,0.19,0.82,0.96,1.415880682891309e-06,True
BCL11A,ST8SIA6,ST8SIA6,ENSG00000148488,0.16040211997637413,0.16040211997637413,6.1264327173057834e-09,1.0,1.0,0.25,0.78,0.97,1.5272053430491726e-06,True
BCL11A,CEP192,CEP192,ENSG00000101639,0.16038823036870098,0.16038823036870098,6.145133524843493e-09,1.0,1.0,0.26,0.79,0.94,1.5272053430491726e-06,True
GATA1,RPS27A,RPS27A,ENSG00000143947,0.16029588942190073,0.16029588942190073,6.270877861769141e-09,1.0,1.0,0.94,1.0,1.0,1.5496508343151538e-06,True
NFE2,KEL,KEL,ENSG00000197993,0.15996496154556278,0.15996496154556278,6.74237869776863e-09,1.0,1.0,0.42,0.96,1.0,1.6567581775719228e-06,True
BCL11A,ATF5,ATF5,ENSG00000169136,0.15993949481926728,0.15993949481926728,6.780057471087658e-09,1.0,1.0,0.23,0.83,0.97,1.6567581775719228e-06,True
GFI1B,EPB41L4A,EPB41L4A,ENSG00000129595,0.1598083561957171,0.1598083561957171,6.977342654434407e-09,1.0,1.0,0.57,0.88,0.96,1.6893836821550366e-06,True
BCL11A,RABGAP1L,RABGAP1L,ENSG00000152061,0.1597873860309953,0.1597873860309953,7.009403019670691e-09,1.0,1.0,0.25,0.88,1.0,1.6893836821550366e-06,True
BCL11A,EPRS,EPRS,ENSG00000136628,0.15977432557350316,0.15977432557350316,7.02944284755868e-09,1.0,1.0,0.21,0.81,0.92,1.6893836821550366e-06,True
NFE2,AC078778.1,AC078778.1,ENSG00000258344,0.15971507230672555,0.15971507230672555,7.121061607835735e-09,1.0,1.0,0.45,1.0,1.0,1.6992782869794282e-06,True
BCL11A,LTBP1,LTBP1,ENSG00000049323,0.1596975907476139,0.1596975907476139,7.1483128670373756e-09,1.0,1.0,0.26,0.77,0.94,1.6992782869794282e-06,True
BCL11A,PDZD8,PDZD8,ENSG00000165650,0.15951206107492433,0.15951206107492433,7.443841456695849e-09,1.0,1.0,0.25,0.87,0.99,1.7599655422479808e-06,True
BCL11A,IMPA2,IMPA2,ENSG00000141401,0.15947177690284128,0.15947177690284128,7.50956041579583e-09,1.0,1.0,0.21,0.79,0.94,1.7659579171339227e-06,True
NFE2,KLF3,KLF3,ENSG00000109787,0.15923136546576122,0.15923136546576122,7.913640394664541e-09,1.0,1.0,0.52,0.99,1.0,1.8510301115648505e-06,True
BCL11A,CDC42BPA,CDC42BPA,ENSG00000143776,0.15910941830478617,0.15910941830478617,8.126601712388923e-09,1.0,1.0,0.2,0.73,0.9,1.8907316962760186e-06,True
BCL11A,NAPEPLD,NAPEPLD,ENSG00000161048,0.15901190627104927,0.15901190627104927,8.300885752928329e-09,1.0,1.0,0.25,0.82,0.96,1.9163175854415607e-06,True
BCL11A,NUTM2B-AS1,NUTM2B-AS1,ENSG00000225484,0.15899901508667352,0.15899901508667352,8.324196187331883e-09,1.0,1.0,0.17,0.86,1.0,1.9163175854415607e-06,True
TAL1,ANK1,ANK1,ENSG00000029534,0.15895449176187276,0.15895449176187276,8.405195266711105e-09,1.0,1.0,0.88,0.98,1.0,1.9248337223347838e-06,True
BCL11A,CIP2A,CIP2A,ENSG00000163507,0.15844772523696637,0.15844772523696637,9.382793457991425e-09,1.0,1.0,0.21,0.76,0.91,2.133777599276643e-06,True
BCL11A,SNCA,SNCA,ENSG00000145335,0.15843183866075275,0.15843183866075275,9.415159502981073e-09,1.0,1.0,0.19,0.82,0.98,2.133777599276643e-06,True
TAL1,ABCC4,ABCC4,ENSG00000125257,0.15837754553298197,0.15837754553298197,9.526592346826578e-09,1.0,1.0,0.91,0.99,1.0,2.1479028311865696e-06,True
BCL11A,TCEA1,TCEA1,ENSG00000187735,0.15826162266514682,0.15826162266514682,9.768818314825836e-09,1.0,1.0,0.18,0.77,0.94,2.191221092771703e-06,True
GFI1B,RPL8,RPL8,ENSG00000161016,0.1580579188269304,0.1580579188269304,1.0209028883564408e-08,1.0,1.0,0.55,0.93,1.0,2.278280221260751e-06,True
NFE2,AGPAT4,AGPAT4,ENSG00000026652,0.15766629297040402,0.15766629297040402,1.1110078333848332e-08,1.0,1.0,0.6,0.97,0.99,2.46677576813465e-06,True
NFE2,ACSL6,ACSL6,ENSG00000164398,0.15759184675703877,0.15759184675703877,1.1289885949023369e-08,1.0,1.0,0.56,0.98,0.99,2.4940384414660716e-06,True
BCL11A,SLC11A2,SLC11A2,ENSG00000110911,0.15744739906892763,0.15744739906892763,1.1646857931130654e-08,1.0,1.0,0.13,0.74,0.93,2.5599676678776623e-06,True
BCL11A,HEMGN,HEMGN,ENSG00000136929,0.15722636079929908,0.15722636079929908,1.2214407136321994e-08,1.0,1.0,0.16,0.8,0.96,2.67129084071362e-06,True
BCL11A,RAB6B,RAB6B,ENSG00000154917,0.15706574403368687,0.15706574403368687,1.2643560759261498e-08,1.0,1.0,0.23,0.74,0.92,2.751389789104965e-06,True
TAL1,SLC2A1,SLC2A1,ENSG00000117394,0.15698372147795345,0.15698372147795345,1.2868326442673258e-08,1.0,1.0,0.93,1.0,1.0,2.7864386069432095e-06,True
BCL11A,PPP1R12A,PPP1R12A,ENSG00000058272,0.15682987947740765,0.15682987947740765,1.3300400771610043e-08,1.0,1.0,0.18,0.79,0.92,2.8658104913804107e-06,True
NFE2,TLCD4,TLCD4,ENSG00000152078,0.1563650608657112,0.1563650608657112,1.4693140046064967e-08,1.0,1.0,0.49,0.99,1.0,3.1503820863474592e-06,True
BCL11A,TMEM120B,TMEM120B,ENSG00000188735,0.15622224122716777,0.15622224122716777,1.5148787406655618e-08,1.0,1.0,0.16,0.73,0.88,3.232233956912765e-06,True
NFE2,TNS1,TNS1,ENSG00000079308,0.15589859346567866,0.15589859346567866,1.6232652634027172e-08,1.0,1.0,0.44,0.94,1.0,3.446680709768682e-06,True
BCL11A,CPLANE1,CPLANE1,ENSG00000197603,0.15587515616049952,0.15587515616049952,1.6313998417592215e-08,1.0,1.0,0.18,0.76,0.91,3.4472187960651375e-06,True
BCL11A,NSMCE2,NSMCE2,ENSG00000156831,0.1557743008376192,0.1557743008376192,1.6668580232440585e-08,1.0,1.0,0.16,0.78,0.93,3.505210093110342e-06,True
BCL11A,TMEM131,TMEM131,ENSG00000075568,0.155610325009271,0.155610325009271,1.7261093408854632e-08,1.0,1.0,0.19,0.74,0.92,3.609451219774994e-06,True
BCL11A,USP32,USP32,ENSG00000170832,0.1555917934290424,0.1555917934290424,1.7329326843912866e-08,1.0,1.0,0.14,0.75,0.95,3.609451219774994e-06,True
TAL1,BMP2K,BMP2K,ENSG00000138756,0.15512497856260318,0.15512497856260318,1.9137071970966914e-08,1.0,1.0,0.92,1.0,1.0,3.933401354937974e-06,True
BCL11A,JADE1,JADE1,ENSG00000077684,0.1551207084712423,0.1551207084712423,1.9154423607722644e-08,1.0,1.0,0.25,0.75,0.94,3.933401354937974e-06,True
NFE2,TXNIP,TXNIP,ENSG00000265972,0.15481900911615304,0.15481900911615304,2.0419782806832416e-08,1.0,1.0,0.52,0.93,0.98,4.173650934443224e-06,True
NFE2,FOXO3,FOXO3,ENSG00000118689,0.15473373785267058,0.15473373785267058,2.0791872262048016e-08,1.0,1.0,0.43,0.98,1.0,4.229937175544094e-06,True
GFI1B,CASP8AP2,CASP8AP2,ENSG00000118412,0.15451588793841772,0.15451588793841772,2.1772584389654196e-08,1.0,1.0,0.48,0.81,0.97,4.408948338904975e-06,True
NFE2,ACKR1,ACKR1,ENSG00000213088,0.1543335717316595,0.1543335717316595,2.2627676233809444e-08,1.0,1.0,0.4,0.91,0.96,4.527164458584725e-06,True
NFE2,SUCO,SUCO,ENSG00000094975,0.15433210448796028,0.15433210448796028,2.2634688179907373e-08,1.0,1.0,0.39,0.96,1.0,4.527164458584725e-06,True
BCL11A,RPL5,RPL5,ENSG00000122406,0.1543253755317008,0.1543253755317008,2.2666872803613505e-08,1.0,1.0,0.16,0.78,0.99,4.527164458584725e-06,True
GFI1B,RPS6,RPS6,ENSG00000137154,0.15424377002711323,0.15424377002711323,2.3060741553788246e-08,1.0,1.0,0.44,0.98,0.99,4.584894707103172e-06,True
GATA1,GYPC,GYPC,ENSG00000136732,0.15410021453529715,0.15410021453529715,2.37697725501033e-08,1.0,1.0,0.82,0.98,1.0,4.704478965346238e-06,True
GFI1B,EEF1A1,EEF1A1,ENSG00000156508,0.15405228553013325,0.15405228553013325,2.401116929399038e-08,1.0,1.0,0.53,0.96,1.0,4.730849301437564e-06,True
BCL11A,LRRFIP2,LRRFIP2,ENSG00000093167,0.15383739897020407,0.15383739897020407,2.512298541582377e-08,1.0,1.0,0.09,0.71,0.89,4.927710233579067e-06,True
BCL11A,RPLP1,RPLP1,ENSG00000137818,0.15376627933177353,0.15376627933177353,2.550182808031517e-08,1.0,1.0,0.09,0.74,0.96,4.9796873224686865e-06,True
GFI1B,RPSA,RPSA,ENSG00000168028,0.15373030784689692,0.15373030784689692,2.569554520062711e-08,1.0,1.0,0.51,0.94,0.99,4.99521398700191e-06,True
NFE2,HMOX1,HMOX1,ENSG00000100292,-0.15339031010482748,0.15339031010482748,2.759840350851526e-08,0.0,1.0,0.48,0.98,1.0,5.341390130364857e-06,True
BCL11A,RPS27A,RPS27A,ENSG00000143947,0.15336043857462583,0.15336043857462583,2.7771964363980798e-08,1.0,1.0,0.09,0.84,0.97,5.351302736918591e-06,True
KLF1,JAZF1,JAZF1,ENSG00000153814,0.1530334968312828,0.1530334968312828,2.9742079831716806e-08,1.0,1.0,0.86,0.98,1.0,5.70578320982146e-06,True
BCL11A,SCFD1,SCFD1,ENSG00000092108,0.15291314670292896,0.15291314670292896,3.0500864285235644e-08,1.0,1.0,0.14,0.79,0.89,5.825798270027106e-06,True
GATA1,TFRC,TFRC,ENSG00000072274,0.15287562761911075,0.15287562761911075,3.0741226712639626e-08,1.0,1.0,0.8,0.99,1.0,5.846179375699379e-06,True
