TF,target,response_pattern,refined_response_pattern,unresolved_reason,stable_small_response_supported,near_threshold_persistent,common_effect,common_effect_se,common_effect_fdr,interaction_fdr,guide_testable,effective_guides_used,all_timepoint_same_direction,all_timepoint_guide_consistent,temporal_equivalence_supported,uniformly_negligible_supported,effect_day 7,effect_day 9,effect_day 11,effect_day 14,effect_fdr_day 7,effect_fdr_day 9,effect_fdr_day 11,effect_fdr_day 14,consistent_guides_day 7,consistent_guides_day 9,consistent_guides_day 11,consistent_guides_day 14,E1_supported
BCL11A,EPRS,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.058637422915648614,0.02510493840744987,0.0705152341841744,0.2948473358099668,True,2,False,False,False,False,0.007691204138192,-0.0712288587802609,-0.0205223721555473,-0.1944342180045813,0.9373479364192834,0.3761740358074768,0.9219532832129116,0.0355275270262486,1,3,1,3,False
BCL11A,LTBP1,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.022571106489379825,0.05712963988944435,0.8051280971902125,0.415293276742317,True,2,False,True,False,False,0.1117674077325362,0.0309735159538155,-0.2019059286644194,-0.2382055247733887,0.5197785633302978,0.9191081676647934,0.5942032044272909,0.3190878620437174,2,2,3,3,False
BCL11A,PDZD8,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,0.005021536065018585,0.02770657942763158,0.9071080290207065,0.4534732625306825,True,2,False,True,False,False,0.0283846991198134,0.0424310136001288,0.0225417886838606,-0.1395982814870109,0.7888857053550259,0.6858438071633516,0.9219532832129116,0.2108198279040998,2,3,2,2,False
BCL11A,IMPA2,unresolved_no_interaction,reason_coded_unresolved,small_same_direction_not_equivalently_weak,False,False,-0.06975952966132068,0.049598892365923256,0.3177689082986353,0.9592888374542716,True,2,True,True,False,False,-0.0909364108374857,-0.0425365296511769,-0.1281776779339207,-0.035597048302379,0.5492826116749985,0.8621116480566838,0.711016607381795,0.9278534194617846,2,2,3,3,False
BCL11A,NAPEPLD,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.006568719236536933,0.03655717500361161,0.9071080290207065,0.4543075986624701,True,2,False,False,False,False,-0.0168900688632679,0.0693799691294174,0.0206923524493348,-0.1803651332887705,0.907744520244559,0.6209613946510009,0.9271078825656148,0.2223246203459776,1,3,2,3,False
BCL11A,SNCA,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.07407494432255697,0.031264144344711746,0.06588144963325385,0.3989374553109798,True,2,False,True,False,False,-0.1655849183742365,-0.0517395684275397,-0.0842226603960591,0.0633405246873052,0.024031237312193,0.6635010364319378,0.7089526213117482,0.69317697036332,2,2,3,3,False
BCL11A,RAB6B,unresolved_no_interaction,reason_coded_unresolved,small_same_direction_not_equivalently_weak,False,False,-0.0835870125884826,0.04696995582388302,0.18419356016626295,0.843292792515562,True,2,True,False,False,False,-0.128457169240146,-0.0229739932771181,-0.1665407304856291,-0.0551431020577086,0.3082585192957754,0.9259223297835516,0.5942032044272909,0.849797208609932,1,1,2,3,False
BCL11A,TMEM120B,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.0405792632058075,0.04889800025889138,0.5634285758606536,0.4534732625306825,True,2,False,False,False,False,-0.0079444632868232,0.0616212119077845,-0.1188533349872769,-0.2594527914613534,0.9612863475151102,0.7581122880849795,0.743749122981642,0.1857463690928958,1,2,3,3,False
BCL11A,CPLANE1,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.06099595116849011,0.059687513291438905,0.47818417581815537,0.6778348574270372,True,2,False,True,False,False,0.0122547230629717,0.0024980162573788,-0.2129307400346726,-0.2051943969600802,0.951404310053352,0.9871250748588742,0.5942032044272909,0.4419464106809778,2,2,3,2,False
BCL11A,NSMCE2,unresolved_no_interaction,small_common_response_supported,small_common_response_supported,False,False,-0.08360171627166901,0.024593251267905476,0.006188924209621067,0.1179921648178691,True,2,False,False,False,False,-0.1079188156975967,0.0181652246202225,-0.1589246861238202,-0.1935785132172328,0.0747647893093856,0.8930886192109916,0.2577302056358928,0.0319509316000163,3,1,3,3,False
BCL11A,JADE1,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,0.016657583895890213,0.03484664703825751,0.7682524627636246,0.6180799768768108,True,2,False,True,False,False,0.0333373927739392,0.0274694143624436,-0.128062944709957,0.0928734333536773,0.8123521681944014,0.8836102851542651,0.5942032044272909,0.5759458471053123,2,2,3,2,False
BCL11A,PRKAR2B,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.05000033866703922,0.03609070651594806,0.3215432777147038,0.6778348574270372,True,2,False,False,False,False,-0.0747873950962534,0.0089752090877305,-0.0184204091000558,-0.1619169207062298,0.4857987879160506,0.959080455380245,0.932589006233032,0.2751520442681672,3,1,2,1,False
BCL11A,CMAS,unresolved_no_interaction,small_common_response_supported,small_common_response_supported,False,False,-0.0800314037534372,0.0273905331630771,0.019511313423540157,0.4534732625306825,True,2,True,True,False,False,-0.0739281674529718,-0.0281437430080294,-0.2231140034532173,-0.0760951938722297,0.3178250743638177,0.818120155302983,0.0923987531818146,0.5632523036182225,3,3,3,3,False
BCL11A,TRIB3,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,0.21070630754911285,0.15079072421386858,0.31978917047719047,0.7274907072774965,True,2,False,True,False,False,0.543180445354392,0.0961893205948355,0.0416349008550041,-0.0255899483892441,0.1566115713058749,0.905036867337199,0.9646675553224732,0.9803535928629494,3,2,2,3,False
